Acanaloniidae
Acanthocnemidae
Acanthopteroctetidae
Acanthosomatidae
Acartophthalmidae
Achilidae
Aclerdidae
Acroceridae
Actinopodidae
Adelgidae
Adelidae
Aderidae
Aenictopecheidae
Aetalionidae
Agaonidae
Agathiphagidae
Agelenidae
Agromyzidae
Agyrtidae
Aididae
Akalyptoischiidae
Alexiidae
Aleyrodidae
Alucitidae
Alydidae
Amaurobiidae
Amblypygi
Ammoplanidae
Ammoxenidae
Amphientomidae
Amphipsocidae
Amphizoidae
Ampulicidae
Anamorphidae
Anapidae
Anaxyelidae
Andesianidae
Andrenidae
Anisopodidae
Anthelidae
Anthicidae
Anthocoridae
Anthomyiidae
Anthomyzidae
Anthribidae
Antrodiaetidae
Anyphaenidae
Apatelodidae
Aphalaridae
Aphelinidae
Aphelocheiridae
Aphididae
Aphrophoridae
Apidae
Apioceridae
Apsilocephalidae
Apystomyiidae
Aradidae
Araneidae
Archaeidae
Archaeognatha
Archeocrypticidae
Archipsocidae
Argidae
Argyresthiidae
Arkyidae
Artematopodidae
Artheneidae
Asilidae
Asiopsocidae
Aspidytidae
Astatidae
Asteiidae
Asterolecaniidae
Atelestidae
Athericidae
Atracidae
Attelabidae
Attevidae
Atypidae
Aulacidae
Aulacigastridae
Australimyzidae
Austrochilidae
Austroleptidae
Autostichidae
Axymyiidae
Azotidae
Barychelidae
Batrachedridae
Bedelliidae
Belidae
Belostomatidae
Bembicidae
Berytidae
Bethylidae
Bibionidae
Biphyllidae
Blasticotomidae
Blastobasidae
Blattodea
Blephariceridae
Blissidae
Boganiidae
Bolbomyiidae
Bolitophilidae
Bombycidae
Bombyliidae
Boopiidae
Boridae
Bostrichidae
Bothrideridae
Brachodidae
Brachypsectridae
Brachystomatidae
Braconidae
Bradynobaenidae
Brahmaeidae
Braulidae
Brentidae
Bucculatricidae
Buprestidae
Byrrhidae
Byturidae
Caeciliusidae
Caliscelidae
Callidulidae
Calliphoridae
Callirhipidae
Calophyidae
Calopsocidae
Camillidae
Canacidae
Canopidae
Cantacaderidae
Cantharidae
Canthyloscelidae
Caponiidae
Carabidae
Caridae
Carnidae
Carposinidae
Carsidaridae
Carthaeidae
Castniidae
Cavognathidae
Cecidomyiidae
Cecidosidae
Celyphidae
Cephidae
Cerambycidae
Ceraphronidae
Ceratocombidae
Ceratopogonidae
Cercopidae
Cerococcidae
Cerophytidae
Cerylonidae
Chaetosomatidae
Chalcididae
Chamaemyiidae
Chaoboridae
Cheiracanthiidae
Chelonariidae
Chironomidae
Chloropidae
Choreutidae
Chrysididae
Chrysolampidae
Chrysomelidae
Chyphotidae
Chyromyidae
Cicadellidae
Cicadidae
Ciidae
Cimberididae
Cimbicidae
Cimeliidae
Cimicidae
Cithaeronidae
Cixiidae
Cladiopsocidae
Clambidae
Clastopteridae
Cleridae
